Time - Voltage,Pen tracing
0.642,0.434311
0.643,0.412734
0.644,0.486484
0.645,0.479076
0.646,0.53769
0.647,0.466516
0.648,0.599202
0.649,0.513858
0.65,0.577303
0.651,0.58471
0.652,0.569895
0.653,0.604355
0.654,0.569895
0.655,0.598236
0.656,0.550894
0.657,0.569895
0.658,0.515146
0.659,0.528351
0.66,0.521265
0.661,0.534792
0.662,0.59888
0.663,0.479721
0.664,0.479399
0.665,0.475212
0.666,0.451058
0.667,0.435921
0.668,0.391156
0.669,0.370545
0.67,0.406615
0.671,0.341238
0.672,0.348323
0.673,0.250419
0.674,0.275861
0.675,0.208874
0.676,0.248809
0.677,0.187297
0.678,0.151549
0.679,0.137057
0.68,0.083918
0.681,0.0562215
0.682,0.0243383
0.683,0.0175752
0.684,-0.0613277
0.685,-0.0281563
0.686,-0.126382
0.687,-0.0767862
0.688,-0.134112
0.689,-0.0790406
0.69,-0.171148
0.691,-0.136044
0.692,-0.192403
0.693,-0.18403
0.694,-0.234592
0.695,-0.202709
0.696,-0.19981
0.697,-0.238779
0.698,-0.211726
0.699,-0.187572
0.7,-0.173402
0.701,-0.153757
0.702,-0.106093
0.703,-0.087414
0.704,0.0201516
0.705,-0.0680908
0.706,-0.0465133
0.707,-0.0867698
0.708,-0.0507
0.709,-0.0809729
0.71,-0.020427
0.711,-0.00625672
0.712,-0.00207004
0.713,0.0694256
0.714,0.047204
0.715,0.0736123
0.716,0.11097
0.717,0.18311
0.718,0.166041
0.719,0.234317
0.72,0.232384
0.721,0.319983
0.722,0.322881
0.723,0.374087
0.724,0.342204
0.725,0.464906
0.726,0.459109
0.727,0.486806
0.728,0.516757
0.729,0.520943
0.73,0.630763
0.731,0.57698
0.732,0.652341
0.733,0.605321
0.734,0.66168
0.735,0.608542
0.736,0.665223
0.737,0.643967
0.738,0.691309
0.739,0.709344
0.74,0.652985
0.741,0.653629
0.742,0.624322
0.743,0.651053
0.744,0.594693
0.745,0.616271
0.746,0.59888
0.747,0.615949
0.748,0.518367
0.749,0.504197
0.75,0.452024
0.751,0.545741
0.752,0.4765
0.753,0.517723
0.754,0.441718
0.755,0.477144
0.756,0.519655
0.757,0.355408
0.758,0.333831
0.759,0.29132
0.76,0.25525
0.761,0.214027
0.762,0.214027
0.763,0.177313
0.764,0.208874
0.765,0.152837
0.766,0.148651
0.767,0.0736123
0.768,0.0513907
0.769,0.0256265
0.77,0.0311014
0.771,0.010168
0.772,-0.0236476
0.773,0.00662538
0.774,-0.0097993
0.775,0.00147254
0.776,-0.0809729
0.777,-0.0742098
0.778,-0.114466
0.779,-0.0458692
0.78,-0.0832273
0.781,-0.0220373
0.782,-0.0455471
0.783,0.00372691
0.784,-0.0497338
0.785,-0.0117316
0.786,-0.00883314
0.787,0.00887975
0.788,0.0513907
0.789,0.0649169
0.79,0.106784
0.791,0.0816636
0.792,0.096156
0.793,0.0993765
0.794,0.119344
0.795,0.165075
0.796,0.203399
0.797,0.191806
0.798,0.292286
0.799,0.25847
0.8,0.358629
0.801,0.298083
0.802,0.363782
0.803,0.321271
0.804,0.43882
0.805,0.494213
0.806,0.528351
0.807,0.552504
0.808,0.554115
0.809,0.600168
0.81,0.621102
0.811,0.631085
0.812,0.62561
0.813,0.70548
0.814,0.658782
0.815,0.749279
0.816,0.768924
0.817,0.802739
0.818,0.760228
0.819,0.815622
0.82,0.764093
0.821,0.786959
0.822,0.810791
0.823,0.796298
0.824,0.866828
0.825,0.801773
0.826,0.838809
0.827,0.78245
0.828,0.792112
0.829,0.678105
0.83,0.710954
0.831,0.750889
0.832,0.703869
0.833,0.682936
0.834,0.719972
0.835,0.658138
0.836,0.64912
0.837,0.626577
0.838,0.606609
0.839,0.596304
0.84,0.514502
0.841,0.555403
0.842,0.464906
0.843,0.491637
0.844,0.408869
0.845,0.414344
0.846,0.363782
0.847,0.402428
0.848,0.328678
0.849,0.334153
0.85,0.273929
0.851,0.23174
0.852,0.130294
0.853,0.16733
0.854,0.120954
0.855,0.138989
0.856,0.150905
0.857,0.103241
0.858,0.164109
0.859,0.0919693
0.86,0.123853
0.861,0.0336778
0.862,0.110326
0.863,0.0707138
0.864,0.124819
0.865,0.126107
0.866,0.0993765
0.867,0.143176
0.868,0.15477
0.869,0.122886
0.87,0.183754
0.871,0.208874
0.872,0.224977
0.873,0.296473
0.874,0.238181
0.875,0.318694
0.876,0.286489
0.877,0.329322
0.878,0.273285
0.879,0.369579
0.88,0.358951
