Time - Voltage,Read lab report
0.796,1.10515
0.797,1.1454
0.798,1.14895
0.799,1.18373
0.8,1.15829
0.801,1.15861
0.802,1.1351
0.803,1.19919
0.804,1.26553
0.805,1.28453
0.806,1.31867
0.807,1.31223
0.808,1.3644
0.809,1.34186
0.81,1.31996
0.811,1.3396
0.812,1.40691
0.813,1.43847
0.814,1.49515
0.815,1.45618
0.816,1.51641
0.817,1.5032
0.818,1.5061
0.819,1.48356
0.82,1.48292
0.821,1.49322
0.822,1.56246
0.823,1.5879
0.824,1.56762
0.825,1.62236
0.826,1.56697
0.827,1.61528
0.828,1.52993
0.829,1.56182
0.83,1.53251
0.831,1.58694
0.832,1.55795
0.833,1.51061
0.834,1.58468
0.835,1.48066
0.836,1.47164
0.837,1.47132
0.838,1.49354
0.839,1.45007
0.84,1.4813
0.841,1.45973
0.842,1.50031
0.843,1.4301
0.844,1.47164
0.845,1.34282
0.846,1.39564
0.847,1.35377
0.848,1.33896
0.849,1.35055
0.85,1.29741
0.851,1.32801
0.852,1.23204
0.853,1.18952
0.854,1.16086
0.855,1.19564
0.856,1.13864
0.857,1.18019
0.858,1.10354
0.859,1.16054
0.86,1.07262
0.861,1.0797
0.862,1.0314
0.863,1.06392
0.864,0.993395
0.865,0.994039
0.866,1.0533
0.867,1.04653
0.868,1.13961
0.869,1.02785
0.87,1.10193
0.871,1.02045
0.872,1.06876
0.873,0.980835
0.874,1.09581
0.875,1.06843
0.876,1.08647
0.877,1.17246
0.878,1.14122
0.879,1.14766
0.88,1.13123
0.881,1.12995
0.882,1.10998
0.883,1.18759
0.884,1.119
0.885,1.20498
0.886,1.1483
0.887,1.21722
0.888,1.1892
0.889,1.30482
0.89,1.23719
0.891,1.31899
0.892,1.32672
0.893,1.3483
0.894,1.38662
0.895,1.36794
0.896,1.36408
0.897,1.43879
0.898,1.47583
0.899,1.45457
0.9,1.49032
0.901,1.51802
0.902,1.57277
0.903,1.51737
0.904,1.55377
0.905,1.528
0.906,1.61818
0.907,1.55022
0.908,1.57051
0.909,1.58114
0.91,1.57406
0.911,1.63331
0.912,1.5557
0.913,1.53251
0.914,1.53799
0.915,1.55473
0.916,1.54604
0.917,1.52929
0.918,1.5309
0.919,1.54282
0.92,1.49966
0.921,1.48002
0.922,1.45812
0.923,1.49161
0.924,1.48485
0.925,1.42752
0.926,1.49709
0.927,1.42108
0.928,1.49064
0.929,1.4082
0.93,1.43751
0.931,1.3644
0.932,1.38308
0.933,1.3367
0.934,1.33735
0.935,1.30868
0.936,1.214
0.937,1.21014
0.938,1.19178
0.939,1.16215
0.94,1.11159
0.941,1.13478
0.942,1.09645
0.943,1.11739
0.944,1.03075
0.945,1.11964
0.946,1.02689
0.947,1.06296
0.948,0.990818
0.949,1.04847
0.95,1.02206
0.951,1.07681
0.952,1.06553
0.953,1.07423
0.954,1.09742
0.955,1.05458
0.956,1.10966
0.957,1.07713
0.958,1.18115
0.959,1.15635
0.96,1.20112
0.961,1.18534
0.962,1.14347
0.963,1.15281
0.964,1.09935
0.965,1.09967
0.966,1.12769
0.967,1.12254
0.968,1.18952
0.969,1.20788
0.97,1.16601
0.971,1.26231
0.972,1.20176
0.973,1.2768
0.974,1.23526
0.975,1.34443
0.976,1.30128
0.977,1.36633
0.978,1.38243
0.979,1.41078
0.98,1.4871
0.981,1.45296
0.982,1.44717
0.983,1.44523
0.984,1.47519
0.985,1.53444
0.986,1.53219
0.987,1.5061
0.988,1.56955
0.989,1.54829
0.99,1.59789
0.991,1.53992
0.992,1.57212
0.993,1.52704
0.994,1.59821
0.995,1.62172
0.996,1.59757
0.997,1.59338
0.998,1.61141
0.999,1.60111
1,1.53348
1.001,1.50836
1.002,1.46585
1.003,1.53122
1.004,1.4681
1.005,1.49258
1.006,1.48646
1.007,1.44717
1.008,1.44395
1.009,1.38791
1.01,1.4359
1.011,1.40337
1.012,1.42044
1.013,1.39564
1.014,1.39628
1.015,1.33091
1.016,1.29484
1.017,1.27777
1.018,1.27938
1.019,1.2227
1.02,1.21787
1.021,1.22141
1.022,1.18824
1.023,1.22398
1.024,1.14508
1.025,1.13123
1.026,1.08035
1.027,1.09742
1.028,1.02399
1.029,1.03333
1.03,1.00918
1.031,1.02013
1.032,1.03719
1.033,1.08872
1.034,1.00918
1.035,1.04718
1.036,1.00467
1.037,1.05587
1.038,1.05619
1.039,1.04106
1.04,1.15217
1.041,1.08003
1.042,1.119
1.043,1.09484
1.044,1.14766
1.045,1.15539
1.046,1.19597
1.047,1.20659
1.048,1.24492
1.049,1.21626
1.05,1.23332
1.051,1.15056
1.052,1.21303
1.053,1.19146
1.054,1.23558
1.055,1.28292
1.056,1.25136
1.057,1.34057
1.058,1.28968
1.059,1.32543
1.06,1.28678
1.061,1.31899
1.062,1.36247
1.063,1.43654
1.064,1.41561
1.065,1.48517
1.066,1.48388
1.067,1.51641
1.068,1.45683
1.069,1.54249
1.07,1.49419
1.071,1.50546
1.072,1.52382
1.073,1.55022
1.074,1.57663
1.075,1.54475
1.076,1.54861
1.077,1.52349
1.078,1.60787
1.079,1.52768
1.08,1.61302
1.081,1.57889
1.082,1.56536
1.083,1.56407
1.084,1.51544
1.085,1.49
1.086,1.40723
1.087,1.53734
1.088,1.46069
1.089,1.49966
1.09,1.49709
1.091,1.47519
1.092,1.47905
1.093,1.44427
1.094,1.40884
1.095,1.40176
1.096,1.35281
1.097,1.4243
1.098,1.35603
1.099,1.34411
1.1,1.32769
1.101,1.22914
1.102,1.25297
1.103,1.16795
1.104,1.20241
1.105,1.15732
1.106,1.18276
1.107,1.17246
1.108,1.13703
1.109,1.16634
1.11,1.12125
1.111,1.07584
1.112,1.06199
1.113,1.06553
1.114,1.04202
1.115,1.08293
1.116,1.03752
1.117,1.09388
1.118,1.01916
1.119,1.07681
1.12,1.06908
1.121,1.07874
1.122,1.02785
1.123,1.08325
1.124,1.11352
1.125,1.08196
1.126,1.0826
1.127,1.09581
1.128,1.14057
1.129,1.08035
1.13,1.14573
1.131,1.16086
1.132,1.24299
1.133,1.16215
1.134,1.21142
1.135,1.18341
1.136,1.20917
1.137,1.24299
1.138,1.24717
1.139,1.25812
1.14,1.3045
1.141,1.34926
1.142,1.37889
1.143,1.39177
1.144,1.33509
1.145,1.41786
1.146,1.40305
1.147,1.50031
1.148,1.43557
1.149,1.49483
1.15,1.49161
1.151,1.57792
1.152,1.54572
1.153,1.54572
1.154,1.46424
1.155,1.56665
1.156,1.55667
1.157,1.54443
1.158,1.59016
1.159,1.56214
1.16,1.66037
1.161,1.53734
1.162,1.60336
1.163,1.52414
1.164,1.55699
1.165,1.5061
1.166,1.53251
1.167,1.5367
1.168,1.50127
1.169,1.547
1.17,1.46778
1.171,1.50127
1.172,1.51544
1.173,1.50836
1.174,1.42495
1.175,1.47036
1.176,1.47068
1.177,1.42334
1.178,1.39371
1.179,1.37728
1.18,1.3045
1.181,1.36665
1.182,1.2607
1.183,1.28099
1.184,1.31029
1.185,1.28034
1.186,1.31126
1.187,1.22849
1.188,1.21207
1.189,1.14186
1.19,1.18437
1.191,1.12157
1.192,1.16215
1.193,1.10772
1.194,1.09355
1.195,1.10547
1.196,1.06103
1.197,1.04074
1.198,0.994361
1.199,1.00563
1.2,1.02914
1.201,1.03365
1.202,1.03848
1.203,1.09967
1.204,1.0752
1.205,1.0855
1.206,0.993395
1.207,1.05909
1.208,1.02914
1.209,1.10933
1.21,1.10579
1.211,1.15313
1.212,1.24331
1.213,1.16698
1.214,1.19049
1.215,1.17052
1.216,1.14734
1.217,1.13317
1.218,1.15732
1.219,1.18276
1.22,1.25812
1.221,1.31577
1.222,1.29129
1.223,1.25297
1.224,1.35377
1.225,1.28807
1.226,1.35442
1.227,1.39854
1.228,1.39403
1.229,1.47873
1.23,1.44201
1.231,1.46713
1.232,1.41689
1.233,1.47486
1.234,1.4842
1.235,1.53122
1.236,1.48388
1.237,1.49386
1.238,1.52639
1.239,1.5937
1.24,1.52575
1.241,1.57728
1.242,1.55022
1.243,1.55892
1.244,1.58887
1.245,1.52285
1.246,1.58758
1.247,1.54829
1.248,1.58114
1.249,1.51351
1.25,1.51576
1.251,1.45457
1.252,1.55119
1.253,1.42527
1.254,1.49322
1.255,1.5338
1.256,1.4623
1.257,1.47647
1.258,1.43686
1.259,1.46713
1.26,1.42559
1.261,1.46585
1.262,1.38598
1.263,1.40144
1.264,1.38566
1.265,1.33316
1.266,1.30031
1.267,1.31223
1.268,1.26875
1.269,1.25394
1.27,1.26489
1.271,1.21142
1.272,1.19758
1.273,1.15345
